emp_no,first_name,last_name,birth_date,title,from_date,to_date
15058,Bouchung,Bugrara,1965-01-30,Senior Staff,1990-06-18,9999-01-01
15413,Arvin,Rabejac,1965-01-17,Engineer,1994-01-01,9999-01-01
17013,Morris,Garigliano,1965-01-15,Staff,1995-05-24,9999-01-01
15376,Geoff,Soicher,1965-01-10,Staff,1988-08-14,2001-03-01
15376,Geoff,Soicher,1965-01-10,Senior Staff,1988-08-14,2001-03-01
16461,Remmert,Schahn,1965-01-14,Staff,1986-09-06,9999-01-01
16461,Remmert,Schahn,1965-01-14,Senior Staff,1986-09-06,9999-01-01
16528,Gaurav,Swick,1965-01-21,Engineer,1996-05-07,9999-01-01
16528,Gaurav,Swick,1965-01-21,Assistant Engineer,1996-05-07,9999-01-01
17013,Morris,Garigliano,1965-01-15,Senior Staff,1995-05-24,9999-01-01
17369,Yaghout,Kenevan,1965-01-31,Senior Engineer,2000-09-15,9999-01-01
17206,Berry,DeMori,1965-01-02,Senior Engineer,1992-12-27,9999-01-01
17206,Berry,DeMori,1965-01-02,Engineer,1992-12-27,9999-01-01
17369,Yaghout,Kenevan,1965-01-31,Engineer,2000-09-15,9999-01-01
17369,Yaghout,Kenevan,1965-01-31,Senior Engineer,1993-01-28,2000-09-15
17369,Yaghout,Kenevan,1965-01-31,Engineer,1993-01-28,2000-09-15
17618,Teiji,Picco,1965-01-12,Staff,1992-09-17,1999-11-08
17447,Zengping,Boreale,1965-01-11,Staff,1998-12-16,9999-01-01
18187,Denis,Falster,1965-01-08,Staff,1998-12-21,1999-06-03
17731,Gennady,Roison,1965-01-16,Engineer,1989-12-06,9999-01-01
17731,Gennady,Roison,1965-01-16,Assistant Engineer,1989-12-06,9999-01-01
17799,Gro,Gini,1965-01-28,Engineer,1997-09-28,2001-07-11
17970,Filipp,Carrere,1965-01-06,Technique Leader,1989-01-09,9999-01-01
17988,Mabhin,Calkin,1965-01-31,Senior Engineer,1989-11-30,9999-01-01
17988,Mabhin,Calkin,1965-01-31,Engineer,1989-11-30,9999-01-01
18021,Adil,Matzke,1965-01-07,Senior Engineer,1987-05-08,9999-01-01
18021,Adil,Matzke,1965-01-07,Engineer,1987-05-08,9999-01-01
18424,Filipp,Rousseau,1965-01-19,Senior Engineer,1995-06-07,9999-01-01
18424,Filipp,Rousseau,1965-01-19,Engineer,1995-06-07,9999-01-01
18583,Stafford,Honglei,1965-01-03,Staff,1998-08-16,9999-01-01
18617,Surveyors,Crouzet,1965-01-21,Staff,1989-04-24,9999-01-01
18617,Surveyors,Crouzet,1965-01-21,Senior Staff,1989-04-24,9999-01-01
18810,Taiji,Jarecki,1965-01-09,Senior Engineer,1991-06-27,9999-01-01
18810,Taiji,Jarecki,1965-01-09,Engineer,1991-06-27,9999-01-01
19803,Ziva,Kowalchuk,1965-01-30,Senior Engineer,1987-06-13,9999-01-01
19236,Elzbieta,Morris,1965-01-24,Senior Engineer,1988-07-12,9999-01-01
19236,Elzbieta,Morris,1965-01-24,Engineer,1988-07-12,9999-01-01
19350,Satoru,Yoshizawa,1965-01-19,Staff,1994-03-27,9999-01-01
19350,Satoru,Yoshizawa,1965-01-19,Senior Staff,1994-03-27,9999-01-01
19803,Ziva,Kowalchuk,1965-01-30,Engineer,1987-06-13,9999-01-01
20248,Vidar,Demri,1965-01-12,Staff,1999-12-31,9999-01-01
20100,Utz,Heuter,1965-01-18,Staff,1986-06-15,9999-01-01
20100,Utz,Heuter,1965-01-18,Senior Staff,1986-06-15,9999-01-01
20313,Candida,Benveniste,1965-01-24,Engineer,1999-01-20,9999-01-01
20128,Kazunori,Peak,1965-01-23,Senior Staff,1999-08-13,9999-01-01
20129,Rafael,Skafidas,1965-01-10,Senior Engineer,1991-03-28,9999-01-01
20129,Rafael,Skafidas,1965-01-10,Engineer,1991-03-28,9999-01-01
20712,Valeri,Escriba,1965-01-26,Engineer,1994-04-09,1998-05-02
20500,Christoph,Trystram,1965-01-30,Staff,1993-10-15,9999-01-01
20500,Christoph,Trystram,1965-01-30,Senior Staff,1993-10-15,9999-01-01
20720,Heejo,Brodie,1965-01-17,Senior Staff,1996-12-27,1997-05-17
21534,Alagu,Luders,1965-01-12,Staff,1996-04-03,1997-12-14
20885,Otmar,Rothenberg,1965-01-21,Senior Engineer,1989-03-14,9999-01-01
20885,Otmar,Rothenberg,1965-01-21,Engineer,1989-03-14,9999-01-01
21181,Jianhui,Cangellaris,1965-01-21,Engineer,1991-10-06,9999-01-01
21181,Jianhui,Cangellaris,1965-01-21,Assistant Engineer,1991-10-06,9999-01-01
21188,Piyush,Danecki,1965-01-21,Engineer,2000-01-08,9999-01-01
21546,Yongmin,Lanteri,1965-01-01,Senior Staff,2002-03-19,9999-01-01
21546,Yongmin,Lanteri,1965-01-01,Senior Staff,1988-02-16,2002-03-19
21843,Karsten,Azadmanesh,1965-01-09,Senior Engineer,1985-11-29,9999-01-01
21909,Mohammed,Brizzi,1965-01-04,Staff,1991-12-28,9999-01-01
21909,Mohammed,Brizzi,1965-01-04,Senior Staff,1991-12-28,9999-01-01
22185,Huai,Birch,1965-01-29,Engineer,2002-06-12,9999-01-01
22027,Sangeeta,Georg,1965-01-27,Staff,1992-07-31,1998-03-14
22185,Huai,Birch,1965-01-29,Assistant Engineer,2002-06-12,9999-01-01
22185,Huai,Birch,1965-01-29,Engineer,1996-03-26,2002-06-12
22415,Perla,Jumpertz,1965-01-20,Senior Staff,1994-08-24,9999-01-01
22451,Jasminko,Bresenham,1965-01-27,Staff,1994-01-19,9999-01-01
22451,Jasminko,Bresenham,1965-01-27,Senior Staff,1994-01-19,9999-01-01
22451,Jasminko,Bresenham,1965-01-27,Staff,1987-12-16,1994-01-19
22451,Jasminko,Bresenham,1965-01-27,Senior Staff,1987-12-16,1994-01-19
22455,Barry,Unno,1965-01-06,Staff,1990-11-16,9999-01-01
22455,Barry,Unno,1965-01-06,Senior Staff,1990-11-16,9999-01-01
22502,Rutger,Binkley,1965-01-29,Senior Engineer,1989-10-16,2001-11-02
22185,Huai,Birch,1965-01-29,Assistant Engineer,1996-03-26,2002-06-12
22926,Manibrata,Genther,1965-01-01,Senior Engineer,1988-01-15,9999-01-01
22926,Manibrata,Genther,1965-01-01,Engineer,1988-01-15,9999-01-01
23396,Hilari,Fairtlough,1965-01-02,Technique Leader,1986-12-15,9999-01-01
24080,Jaana,Perez,1965-01-26,Technique Leader,1996-03-11,9999-01-01
24189,Abdelaziz,Atrawala,1965-01-16,Staff,1993-03-28,1997-02-23
24205,Roddy,Rubsam,1965-01-25,Senior Engineer,1993-09-19,9999-01-01
24377,Lubomir,Wroclawski,1965-01-25,Senior Engineer,1993-07-25,9999-01-01
24377,Lubomir,Wroclawski,1965-01-25,Engineer,1993-07-25,9999-01-01
24394,Zhonghui,Conta,1965-01-04,Staff,1994-09-10,9999-01-01
24421,Dannz,Grospietsch,1965-01-10,Senior Engineer,1990-09-01,2000-10-12
25488,Ingmar,Basawa,1965-01-19,Staff,1991-11-09,9999-01-01
24553,Anwar,Passafiume,1965-01-12,Staff,1987-01-30,9999-01-01
24553,Anwar,Passafiume,1965-01-12,Senior Staff,1987-01-30,9999-01-01
24571,Cordelia,Gischer,1965-01-20,Senior Engineer,1989-03-14,9999-01-01
24571,Cordelia,Gischer,1965-01-20,Engineer,1989-03-14,9999-01-01
25488,Ingmar,Basawa,1965-01-19,Senior Staff,1991-11-09,9999-01-01
26476,Bilhanan,Karcich,1965-01-19,Staff,1996-04-09,1997-02-04
26503,Shietung,Billingsley,1965-01-27,Senior Staff,1998-11-07,1998-12-02
26788,Zongyan,Dalphin,1965-01-25,Senior Engineer,1988-04-23,9999-01-01
26617,Berto,Bruckman,1965-01-06,Engineer,1991-11-23,1994-03-27
26629,Nevin,Rodham,1965-01-28,Senior Staff,1998-12-14,9999-01-01
26671,Jiakeng,Kalorkoti,1965-01-21,Senior Engineer,1994-12-25,9999-01-01
26671,Jiakeng,Kalorkoti,1965-01-21,Engineer,1994-12-25,9999-01-01
26788,Zongyan,Dalphin,1965-01-25,Engineer,1988-04-23,9999-01-01
27150,Chenyi,Plump,1965-01-06,Staff,1992-06-23,1995-05-22
27331,Wanqing,Krohm,1965-01-19,Staff,1991-01-22,9999-01-01
27331,Wanqing,Krohm,1965-01-19,Senior Staff,1991-01-22,9999-01-01
27378,Piyawadee,Leppanen,1965-01-28,Senior Staff,1999-02-25,9999-01-01
27620,Shuji,Kandlur,1965-01-25,Senior Engineer,1990-03-02,9999-01-01
27620,Shuji,Kandlur,1965-01-25,Engineer,1990-03-02,9999-01-01
27686,Manu,Rosiles,1965-01-28,Senior Staff,1998-03-03,9999-01-01
27699,Falguni,Pezzoli,1965-01-15,Engineer,1996-12-23,9999-01-01
27970,KayLiang,Miyakawa,1965-01-12,Technique Leader,1995-11-22,2000-02-07
27767,Tooru,Veldwijk,1965-01-27,Staff,1993-11-21,9999-01-01
27767,Tooru,Veldwijk,1965-01-27,Senior Staff,1993-11-21,9999-01-01
28193,Xinglin,Mitsuhashi,1965-01-29,Senior Engineer,1988-12-14,9999-01-01
28193,Xinglin,Mitsuhashi,1965-01-29,Engineer,1988-12-14,9999-01-01
28222,Mayuko,Vitiello,1965-01-11,Technique Leader,1993-12-22,1995-10-16
29130,Xumin,Thorensen,1965-01-06,Staff,1998-04-26,9999-01-01
29265,Gilbert,Calkin,1965-01-14,Staff,1988-03-21,9999-01-01
28974,Chenxi,Sundgren,1965-01-09,Senior Engineer,1986-09-02,9999-01-01
28988,Tua,Giveon,1965-01-18,Technique Leader,1998-09-09,9999-01-01
29265,Gilbert,Calkin,1965-01-14,Senior Staff,1988-03-21,9999-01-01
29782,Jouko,Hellwagner,1965-01-29,Senior Engineer,2000-10-23,9999-01-01
29380,Satoru,Vidal,1965-01-30,Assistant Engineer,1998-05-02,9999-01-01
29418,Valery,Mersereau,1965-01-22,Assistant Engineer,1998-07-01,9999-01-01
29679,Kolar,Steenbeek,1965-01-17,Senior Engineer,1986-10-18,9999-01-01
29782,Jouko,Hellwagner,1965-01-29,Senior Engineer,1994-12-21,2000-10-23
30035,Tetsushi,Conta,1965-01-08,Senior Staff,1995-07-04,9999-01-01
29954,Pranay,Giarratana,1965-01-27,Senior Engineer,1992-09-29,9999-01-01
30154,Mayuko,Skafidas,1965-01-26,Technique Leader,1999-04-19,9999-01-01
30007,Kousuke,Vecchio,1965-01-24,Senior Engineer,1990-02-23,9999-01-01
30007,Kousuke,Vecchio,1965-01-24,Engineer,1990-02-23,9999-01-01
30182,Leon,Potthoff,1965-01-26,Senior Engineer,1985-12-08,9999-01-01
30182,Leon,Potthoff,1965-01-26,Engineer,1985-12-08,9999-01-01
30695,Gudjon,Majewski,1965-01-08,Senior Engineer,1999-10-26,9999-01-01
30465,Randi,Avouris,1965-01-28,Senior Engineer,1986-07-16,9999-01-01
30465,Randi,Avouris,1965-01-28,Engineer,1986-07-16,9999-01-01
30484,Sailaja,Chvatal,1965-01-11,Staff,1999-05-18,9999-01-01
30552,Yishai,Terlouw,1965-01-18,Senior Engineer,1986-09-19,1999-01-07
30552,Yishai,Terlouw,1965-01-18,Engineer,1986-09-19,1999-01-07
30938,Yakkov,Samarati,1965-01-06,Staff,1997-10-10,9999-01-01
30938,Yakkov,Samarati,1965-01-06,Senior Staff,1997-10-10,9999-01-01
30938,Yakkov,Samarati,1965-01-06,Staff,1995-05-23,1997-10-10
30938,Yakkov,Samarati,1965-01-06,Senior Staff,1995-05-23,1997-10-10
31170,Tuval,Waleschkowski,1965-01-08,Senior Staff,1987-10-16,1988-12-14
31188,Leandro,Gist,1965-01-12,Technique Leader,1993-02-03,9999-01-01
31207,Abdelwaheb,Dulin,1965-01-30,Senior Engineer,1993-08-05,9999-01-01
31341,Oksana,Zultner,1965-01-01,Staff,1991-03-23,9999-01-01
31147,Divine,Sidhu,1965-01-04,Senior Staff,1989-07-05,9999-01-01
31341,Oksana,Zultner,1965-01-01,Senior Staff,1991-03-23,9999-01-01
31599,Qingxiang,Gewali,1965-01-05,Engineer,1997-09-22,1998-12-01
31514,Harngdar,Schapire,1965-01-13,Senior Engineer,1996-11-09,9999-01-01
31514,Harngdar,Schapire,1965-01-13,Engineer,1996-11-09,9999-01-01
31568,Mark,Lalonde,1965-01-10,Staff,1996-11-24,9999-01-01
31629,Toong,Veldwijk,1965-01-24,Engineer,1986-07-28,1996-04-26
31629,Toong,Veldwijk,1965-01-24,Assistant Engineer,1986-07-28,1996-04-26
31909,Murthy,Peek,1965-01-10,Engineer,2000-10-30,9999-01-01
31909,Murthy,Peek,1965-01-10,Engineer,1994-07-19,2000-10-30
32552,Atreye,Stanger,1965-01-17,Engineer,1993-09-10,9999-01-01
32347,Terresa,Peres,1965-01-08,Staff,1990-09-15,9999-01-01
32347,Terresa,Peres,1965-01-08,Senior Staff,1990-09-15,9999-01-01
32552,Atreye,Stanger,1965-01-17,Assistant Engineer,1993-09-10,9999-01-01
32844,Tadahiko,Melton,1965-01-23,Engineer,1995-01-07,9999-01-01
32622,Piyush,Paciorek,1965-01-23,Staff,1991-04-07,1991-07-18
32622,Piyush,Paciorek,1965-01-23,Staff,1991-07-18,1991-08-07
32649,Ingmar,Nannarelli,1965-01-12,Senior Staff,1988-06-10,9999-01-01
32714,Radoslaw,Maliniak,1965-01-16,Staff,2001-09-18,9999-01-01
32714,Radoslaw,Maliniak,1965-01-16,Staff,1997-11-17,2001-09-18
33025,Jessie,Thorelli,1965-01-12,Senior Staff,1999-12-16,9999-01-01
33606,Clyde,Swift,1965-01-02,Staff,1994-11-14,1996-12-29
33215,Steen,Fasbender,1965-01-29,Technique Leader,1993-02-14,9999-01-01
33293,Adamantios,Vanwelkenhuysen,1965-02-01,Engineer,1994-01-11,2000-08-18
33293,Adamantios,Vanwelkenhuysen,1965-02-01,Assistant Engineer,1994-01-11,2000-08-18
34077,Angel,Sichman,1965-01-08,Staff,1988-11-16,9999-01-01
33722,Anwar,Collette,1965-01-15,Senior Engineer,1994-03-22,2001-02-03
33722,Anwar,Collette,1965-01-15,Senior Engineer,2001-02-03,9999-01-01
34261,Kyoichi,Callaway,1965-01-05,Staff,1990-12-30,9999-01-01
34261,Kyoichi,Callaway,1965-01-05,Senior Staff,1990-12-30,9999-01-01
34446,Chinhyun,Bauknecht,1965-01-31,Senior Engineer,1986-12-19,9999-01-01
34452,Naftaly,Foong,1965-01-08,Senior Engineer,1991-05-10,9999-01-01
34452,Naftaly,Foong,1965-01-08,Engineer,1991-05-10,9999-01-01
34077,Angel,Sichman,1965-01-08,Senior Staff,1988-11-16,9999-01-01
34780,Moni,Kohling,1965-01-16,Staff,1994-07-21,2001-09-18
34505,Felicidad,Kumaresan,1965-01-28,Staff,1994-09-06,9999-01-01
34505,Felicidad,Kumaresan,1965-01-28,Senior Staff,1994-09-06,9999-01-01
34533,Erzsebet,Shigei,1965-01-10,Senior Engineer,1991-01-21,1995-01-16
34533,Erzsebet,Shigei,1965-01-10,Senior Engineer,1995-01-16,9999-01-01
34780,Moni,Kohling,1965-01-16,Staff,2001-09-18,9999-01-01
34788,Ennio,Babu,1965-01-27,Senior Engineer,1994-08-31,9999-01-01
35044,Jiang,Waschkowski,1965-01-04,Senior Engineer,1989-05-27,9999-01-01
35044,Jiang,Waschkowski,1965-01-04,Engineer,1989-05-27,9999-01-01
34936,Bokyung,Stamatiou,1965-01-12,Technique Leader,1991-02-12,9999-01-01
35087,Leif,Ashish,1965-01-17,Staff,1994-10-14,9999-01-01
35087,Leif,Ashish,1965-01-17,Senior Staff,1994-10-14,9999-01-01
35642,Ashish,Talmon,1965-01-30,Senior Engineer,1995-06-13,1999-02-28
35441,Chandrasekaran,Peek,1965-01-31,Senior Engineer,1988-02-07,1990-09-17
35441,Chandrasekaran,Peek,1965-01-31,Engineer,1988-02-07,1990-09-17
35441,Chandrasekaran,Peek,1965-01-31,Senior Engineer,1990-09-17,9999-01-01
35441,Chandrasekaran,Peek,1965-01-31,Engineer,1990-09-17,9999-01-01
35642,Ashish,Talmon,1965-01-30,Engineer,1995-06-13,1999-02-28
35642,Ashish,Talmon,1965-01-30,Senior Engineer,1999-02-28,9999-01-01
35642,Ashish,Talmon,1965-01-30,Engineer,1999-02-28,9999-01-01
36626,Fen,Genin,1965-01-02,Senior Staff,1986-05-09,9999-01-01
35793,Oscar,Kusalik,1965-01-01,Staff,1991-05-11,9999-01-01
35793,Oscar,Kusalik,1965-01-01,Senior Staff,1991-05-11,9999-01-01
35798,Ulf,Oberman,1965-01-29,Senior Engineer,1997-03-15,9999-01-01
36521,Serif,Gladwell,1965-01-21,Staff,1987-03-06,9999-01-01
36521,Serif,Gladwell,1965-01-21,Senior Staff,1987-03-06,9999-01-01
36844,Hailing,Levergood,1965-01-01,Staff,2000-01-12,9999-01-01
36733,Uma,Reinhard,1965-01-04,Staff,1997-11-01,9999-01-01
36982,Kotesh,Rajala,1965-01-22,Senior Engineer,1992-06-23,9999-01-01
36982,Kotesh,Rajala,1965-01-22,Engineer,1992-06-23,9999-01-01
37719,Nakhoon,Buescher,1965-01-31,Engineer,1988-06-12,1999-01-17
37070,Jeong,Undy,1965-01-22,Staff,1985-02-13,9999-01-01
37070,Jeong,Undy,1965-01-22,Senior Staff,1985-02-13,9999-01-01
37592,Berni,Stranks,1965-02-01,Engineer,1985-11-05,1992-09-19
37719,Nakhoon,Buescher,1965-01-31,Assistant Engineer,1988-06-12,1999-01-17
38017,Ulf,Himler,1965-01-24,Staff,1994-01-02,1995-08-05
38017,Ulf,Himler,1965-01-24,Staff,1995-08-05,1997-11-28
38043,Michaela,Randi,1965-01-05,Senior Engineer,1985-11-23,9999-01-01
38043,Michaela,Randi,1965-01-05,Engineer,1985-11-23,9999-01-01
38103,Masasuke,Babu,1965-01-12,Senior Engineer,1988-03-31,9999-01-01
37945,Suzette,Butterworth,1965-01-02,Senior Engineer,1994-02-19,9999-01-01
38103,Masasuke,Babu,1965-01-12,Engineer,1988-03-31,9999-01-01
38550,JoAnne,Baez,1965-01-14,Senior Engineer,1987-02-16,9999-01-01
38168,Fumiko,Deverell,1965-01-14,Staff,1987-08-15,9999-01-01
38168,Fumiko,Deverell,1965-01-14,Senior Staff,1987-08-15,9999-01-01
38593,Huei,Orsini,1965-01-14,Senior Engineer,1986-06-04,9999-01-01
38593,Huei,Orsini,1965-01-14,Engineer,1986-06-04,9999-01-01
38947,Shuichi,Ruemmler,1965-01-25,Staff,1998-04-08,9999-01-01
38947,Shuichi,Ruemmler,1965-01-25,Senior Staff,1998-04-08,9999-01-01
38947,Shuichi,Ruemmler,1965-01-25,Staff,1991-03-08,1998-04-08
38947,Shuichi,Ruemmler,1965-01-25,Senior Staff,1991-03-08,1998-04-08
39952,Otmar,Sudbeck,1965-01-02,Staff,1998-07-22,9999-01-01
39000,Martijn,Vendrig,1965-01-08,Staff,1997-03-03,9999-01-01
39000,Martijn,Vendrig,1965-01-08,Senior Staff,1997-03-03,9999-01-01
39036,Changho,Cappelli,1965-01-08,Staff,1996-05-04,9999-01-01
39268,Constantijn,Awdeh,1965-01-10,Engineer,1987-10-20,1990-06-10
39301,Rimon,Kawashima,1965-01-07,Staff,1992-02-06,9999-01-01
39301,Rimon,Kawashima,1965-01-07,Senior Staff,1992-02-06,9999-01-01
39341,Mahmut,Lampe,1965-01-01,Senior Engineer,1985-05-11,9999-01-01
39341,Mahmut,Lampe,1965-01-01,Engineer,1985-05-11,9999-01-01
40765,Michaela,Ramsak,1965-01-01,Staff,1992-12-21,9999-01-01
40269,Toshiki,Ghazalie,1965-01-10,Staff,1991-12-05,9999-01-01
40269,Toshiki,Ghazalie,1965-01-10,Senior Staff,1991-12-05,9999-01-01
40283,Sudhanshu,Boissier,1965-01-07,Senior Engineer,1985-05-11,9999-01-01
40283,Sudhanshu,Boissier,1965-01-07,Engineer,1985-05-11,9999-01-01
40301,Spyrose,Felder,1965-01-20,Senior Engineer,1996-06-16,1997-10-20
40301,Spyrose,Felder,1965-01-20,Senior Engineer,1997-10-20,9999-01-01
40536,Harngdar,Bernardinello,1965-01-20,Senior Engineer,1988-02-29,9999-01-01
40536,Harngdar,Bernardinello,1965-01-20,Engineer,1988-02-29,9999-01-01
40765,Michaela,Ramsak,1965-01-01,Senior Staff,1992-12-21,9999-01-01
40773,Shimshon,Aingworth,1965-01-09,Staff,1986-04-13,9999-01-01
40773,Shimshon,Aingworth,1965-01-09,Senior Staff,1986-04-13,9999-01-01
40785,Youpyo,Castellani,1965-01-31,Engineer,1998-09-04,1999-10-14
41114,Petter,Thummel,1965-01-25,Technique Leader,1995-12-24,9999-01-01
40648,Wayne,Erev,1965-01-23,Staff,1990-09-19,1993-02-02
40983,Marla,Cherinka,1965-01-17,Technique Leader,1986-12-01,9999-01-01
41137,Bikash,Buchter,1965-01-20,Staff,1987-11-23,1996-01-08
41137,Bikash,Buchter,1965-01-20,Senior Staff,1987-11-23,1996-01-08
41137,Bikash,Buchter,1965-01-20,Staff,1996-01-08,9999-01-01
41137,Bikash,Buchter,1965-01-20,Senior Staff,1996-01-08,9999-01-01
41518,Keung,Schapiro,1965-01-11,Senior Engineer,2001-02-08,9999-01-01
41357,Willard,Vernadat,1965-01-06,Engineer,1997-03-04,9999-01-01
41552,Uno,Heyers,1965-01-03,Senior Engineer,1990-09-28,2001-11-29
41552,Uno,Heyers,1965-01-03,Engineer,1990-09-28,2001-11-29
41518,Keung,Schapiro,1965-01-11,Senior Engineer,1998-04-19,2001-02-08
41520,Xiong,Uhrik,1965-01-20,Senior Engineer,1988-03-21,9999-01-01
41609,Yucai,Simmen,1965-01-04,Senior Staff,1987-10-13,9999-01-01
42911,Brigham,Eterovic,1965-01-29,Senior Engineer,1994-10-08,9999-01-01
42911,Brigham,Eterovic,1965-01-29,Engineer,1994-10-08,9999-01-01
42950,Shaleah,Eickenmeyer,1965-01-22,Senior Staff,1993-10-09,9999-01-01
42778,Shuji,Remmers,1965-01-19,Staff,1987-12-18,9999-01-01
42778,Shuji,Remmers,1965-01-19,Senior Staff,1987-12-18,9999-01-01
42955,Yucel,Lortz,1965-01-12,Engineer,1995-02-21,9999-01-01
43358,Ottavia,Mitsuhashi,1965-01-07,Staff,1989-08-18,1996-07-13
43154,Maha,Waterhouse,1965-01-13,Staff,1997-07-04,9999-01-01
43154,Maha,Waterhouse,1965-01-13,Senior Staff,1997-07-04,9999-01-01
43848,Phillip,Oxenboll,1965-01-11,Engineer,1999-05-26,9999-01-01
43733,Huei,Boguraev,1965-01-26,Staff,1993-12-31,9999-01-01
43733,Huei,Boguraev,1965-01-26,Senior Staff,1993-12-31,9999-01-01
44900,Mark,Schwaller,1965-01-05,Staff,1994-08-10,9999-01-01
44054,Alenka,Ritcey,1965-01-18,Engineer,1997-02-09,9999-01-01
44265,Maria,Eppinger,1965-01-24,Engineer,1997-01-30,9999-01-01
44540,Mingzeng,Sadowski,1965-01-16,Senior Engineer,1989-11-12,9999-01-01
44959,Volkmar,Uhrik,1965-01-21,Senior Engineer,1988-01-16,9999-01-01
44959,Volkmar,Uhrik,1965-01-21,Engineer,1988-01-16,9999-01-01
44962,Sariel,Wynblatt,1965-01-16,Assistant Engineer,1996-05-18,9999-01-01
44900,Mark,Schwaller,1965-01-05,Senior Staff,1994-08-10,9999-01-01
45590,Masoud,Genin,1965-01-21,Technique Leader,1991-02-16,1994-06-01
45162,Dulce,Speel,1965-01-11,Senior Engineer,1987-10-19,9999-01-01
45162,Dulce,Speel,1965-01-11,Engineer,1987-10-19,9999-01-01
46531,Yaghout,Peng,1965-01-30,Assistant Engineer,1995-10-02,1997-10-07
46000,Zhaofang,Penn,1965-01-26,Staff,1997-07-24,9999-01-01
46000,Zhaofang,Penn,1965-01-26,Senior Staff,1997-07-24,9999-01-01
46015,Weiye,Masand,1965-01-19,Staff,1995-07-24,2002-01-29
46222,Mrinalini,Strooper,1965-01-20,Staff,1990-03-05,1992-09-04
46328,Wuxu,Trogemann,1965-01-05,Senior Staff,1997-01-27,9999-01-01
46811,Junsik,Berendt,1965-01-10,Senior Engineer,1988-04-27,9999-01-01
46834,Tooru,Daescu,1965-01-22,Senior Staff,1998-03-20,9999-01-01
47139,Marco,Usdin,1965-01-25,Engineer,1996-10-29,9999-01-01
